index,type,word
1,AA,頂頂
2,AA,知知
3,AA,事事
4,AA,擲擲
5,AA,像像
6,AA,破破
7,AA,閃閃
8,AA,㧡㧡
9,AA,爸爸
10,AA,少少
11,AA,律律
12,AA,滿滿
13,AA,咩咩
14,AA,碎碎
15,AA,隻隻
16,AA,慶慶
17,AA,亼亼
18,AA,近近
19,AA,空空
20,AA,綿綿
21,AA,凸凸
22,AA,了了
23,AA,直直
24,AA,騙騙
25,AA,啞啞
26,AA,鋸鋸
27,AA,包包
28,AA,醉醉
29,AA,巡巡
30,AA,燥燥
31,AA,𢴪𢴪
32,AA,照照
33,AA,靚靚
34,AA,漂漂
35,AA,膨膨
36,AA,貼貼
37,AA,吊吊
38,AA,㧾㧾
39,AA,年年
40,AA,生生
41,AA,白白
42,AA,嘟嘟
43,AA,款款
44,AA,硬硬
45,AA,堂堂
46,AA,浸浸
47,AA,長長
48,AA,早早
49,AA,深深
50,AA,淰淰
51,AA,揙揙
52,AA,收收
53,AA,招招
54,AA,淨淨
55,AA,摘摘
56,AA,孔孔
57,AA,屑屑
58,AA,幼幼
59,AA,家家
60,AA,絕絕
61,AA,挲挲
62,AA,慢慢
63,AA,擗擗
64,AA,問問
65,AA,等等
66,AA,酪酪
67,AA,去去
68,AA,真真
69,AA,拱拱
70,AA,奮奮
71,AA,戇戇
72,AA,重重
73,AA,恬恬
74,AA,聽聽
75,AA,炒炒
76,AA,結結
77,AA,緲緲
78,AA,虬虬
79,AA,皮皮
80,AA,通通
81,AA,滑滑
82,AA,姊姊
83,AA,來來
84,AA,輒輒
85,AA,久久
86,AA,萬萬
87,AA,人人
88,AA,朝朝
89,AA,潦潦
90,AA,打打
91,AA,妹妹
92,AA,犁犁
93,AA,冷冷
94,AA,便便
95,AA,夾夾
96,AA,略略
97,AA,七七
98,AA,利利
99,AA,孫孫
100,AA,竳竳
101,AA,跛跛
102,AA,看看
103,AA,緊緊
104,AA,腫腫
105,AA,行行
106,AA,險險
107,AA,紛紛
108,AA,矮矮
109,AA,野野
110,AA,劈劈
111,AA,嘖嘖
112,AA,準準
113,AA,專專
114,AA,遶遶
115,AA,掞掞
116,AA,淺淺
117,AA,翹翹
118,AA,椊椊
119,AA,香香
120,AA,擘擘
121,AA,討討
122,AA,膏膏
123,AA,狹狹
124,AA,講講
125,AA,紅紅
126,AA,漏漏
127,AA,猩猩
128,AA,拜拜
129,AA,臭臭
130,AA,點點
131,AA,到到
132,AA,鼻鼻
133,AA,歕歕
134,AA,側側
135,AA,舞舞
136,AA,捉捉
137,AA,㓾㓾
138,AA,貢貢
139,AA,啊啊
140,AA,轉轉
141,AA,小小
142,AA,窩窩
143,AA,煮煮
144,AA,暗暗
145,AA,敨敨
146,AA,戽戽
147,AA,蔭蔭
148,AA,洗洗
149,AA,煎煎
150,AA,飽飽
151,AA,磡磡
152,AA,落落
153,AA,匱匱
154,AA,仃仃
155,AA,揹揹
156,AA,圓圓
157,AA,高高
158,AA,伏伏
159,AA,嫩嫩
160,AA,炆炆
161,AA,想想
162,AA,大大
163,AA,喳喳
164,AA,浮浮
165,AA,蓬蓬
166,AA,某某
167,AA,乖乖
168,AA,洋洋
169,AA,竵竵
170,AA,挺挺
171,AA,漸漸
172,AA,囉囉
173,AA,枋枋
174,AA,罵罵
175,AA,光光
176,AA,薄薄
177,AA,怪怪
178,AA,淋淋
179,AA,拑拑
180,AA,屙屙
181,AA,婆婆
182,AA,定定
183,AA,分分
184,AA,淒淒
185,AA,項項
186,AA,挏挏
187,AA,選選
188,AA,青青
189,AA,朗朗
190,AA,賤賤
