index,type,word
1,AA,鑔鑔
2,AA,輕輕
3,AA,萬萬
4,AA,人人
5,AA,事事
6,AA,公公
7,AA,大大
8,AA,蹀蹀
9,AA,脧脧
10,AA,啵啵
11,AA,叨叨
12,AA,伯伯
13,AA,蕭蕭
14,AA,邊邊
15,AA,僅僅
16,AA,喳喳
17,AA,凄凄
18,AA,蓬蓬
19,AA,平平
20,AA,閃閃
21,AA,徐徐
22,AA,妹妹
23,AA,隆隆
24,AA,矯矯
25,AA,賓賓
26,AA,爸爸
27,AA,姐姐
28,AA,馥馥
29,AA,僬僬
30,AA,好好
31,AA,急急
32,AA,少少
33,AA,某某
34,AA,乖乖
35,AA,濯濯
36,AA,姥姥
37,AA,赫赫
38,AA,女女
39,AA,漸漸
40,AA,磕磕
41,AA,種種
42,AA,便便
43,AA,爍爍
44,AA,一一
45,AA,沾沾
46,AA,略略
47,AA,彰彰
48,AA,恢恢
49,AA,井井
50,AA,啫啫
51,AA,頻頻
52,AA,殜殜
53,AA,斷斷
54,AA,鏘鏘
55,AA,挈挈
56,AA,霎霎
57,AA,嫲嫲
58,AA,啷啷
59,AA,眄眄
60,AA,恰恰
61,AA,亹亹
62,AA,啤啤
63,AA,弟弟
64,AA,厾厾
65,AA,鋃鋃
66,AA,垂垂
67,AA,喋喋
68,AA,可可
69,AA,了了
70,AA,勻勻
71,AA,哥哥
72,AA,常常
73,AA,星星
74,AA,匆匆
75,AA,蛐蛐
76,AA,多多
77,AA,看看
78,AA,底底
79,AA,魆魆
80,AA,坎坎
81,AA,鴣鴣
82,AA,行行
83,AA,皒皒
84,AA,遠遠
85,AA,紛紛
86,AA,婆婆
87,AA,尐尐
88,AA,噔噔
89,AA,篤篤
90,AA,中中
91,AA,父父
92,AA,蛋蛋
93,AA,嗖嗖
94,AA,泛泛
95,AA,雞雞
96,AA,咕咕
97,AA,姨姨
98,AA,娘娘
99,AA,杳杳
100,AA,狒狒
101,AA,往往
102,AA,借借
103,AA,唔唔
104,AA,栩栩
105,AA,微微
106,AA,邕邕
107,AA,每每
108,AA,幻幻
109,AA,佼佼
110,AA,莘莘
111,AA,萋萋
112,AA,悄悄
113,AA,𠵾𠵾
114,AA,紜紜
115,AA,慼慼
116,AA,侵侵
117,AA,冉冉
118,AA,颭颭
119,AA,翼翼
120,AA,怕怕
121,AA,蒼蒼
122,AA,麻麻
123,AA,嶙嶙
124,AA,髒髒
125,AA,聶聶
126,AA,鈴鈴
127,AA,邈邈
128,AA,㗲㗲
129,AA,渣渣
130,AA,矻矻
131,AA,窈窈
132,AA,揪揪
133,AA,姑姑
134,AA,娃娃
135,AA,整整
136,AA,代代
137,AA,仔仔
138,AA,怦怦
139,AA,哧哧
140,AA,訥訥
141,AA,囝囝
142,AA,先先
143,AA,媽媽
144,AA,端端
145,AA,狠狠
146,AA,藐藐
147,AA,顛顛
148,AA,日日
149,AA,天天
150,AA,軋軋
151,AA,個個
152,AA,篋篋
153,AA,晒晒
154,AA,昂昂
155,AA,威威
156,AA,白白
157,AA,靜靜
158,AA,喁喁
159,AA,初初
160,AA,偷偷
161,AA,猩猩
162,AA,正正
163,AA,悠悠
164,AA,謝謝
165,AA,殊殊
166,AA,耐耐
167,AA,噼噼
168,AA,卜卜
169,AA,𩜠𩜠
170,AA,滾滾
171,AA,囔囔
172,AA,喃喃
173,AA,忿忿
174,AA,疏疏
175,AA,侃侃
176,AA,遑遑
177,AA,拜拜
178,AA,𥄫𥄫
179,AA,鐺鐺
180,AA,慌慌
181,AA,陣陣
182,AA,赳赳
183,AA,堂堂
184,AA,茫茫
185,AA,齊齊
186,AA,深深
187,AA,亭亭
188,AA,密密
189,AA,足足
190,AA,繞繞
191,AA,芸芸
192,AA,叔叔
193,AA,短短
194,AA,藹藹
195,AA,申申
196,AA,熊熊
197,AA,連連
198,AA,勃勃
199,AA,哈哈
200,AA,鶼鶼
201,AA,呷呷
202,AA,朘朘
203,AA,憤憤
204,AA,娜娜
205,AA,明明
206,AA,攬攬
207,AA,畫畫
208,AA,偏偏
209,AA,啱啱
210,AA,剛剛
211,AA,嗡嗡
212,AA,油油
213,AA,戔戔
214,AA,嬸嬸
215,AA,翩翩
216,AA,沖沖
217,AA,慢慢
218,AA,察察
219,AA,東東
220,AA,皓皓
221,AA,涔涔
222,AA,戛戛
223,AA,小小
224,AA,單單
225,AA,溟溟
226,AA,頭頭
227,AA,吭吭
228,AA,暗暗
229,AA,爺爺
230,AA,等等
231,AA,踥踥
232,AA,掹掹
233,AA,突突
234,AA,咧咧
235,AA,唉唉
236,AA,灼灼
237,AA,真真
238,AA,捻捻
239,AA,泱泱
240,AA,虺虺
241,AA,涓涓
242,AA,舅舅
243,AA,惓惓
244,AA,呱呱
245,AA,寶寶
246,AA,㞎㞎
247,AA,榛榛
248,AA,囁囁
249,AA,眇眇
250,AA,重重
251,AA,叮叮
252,AA,熒熒
253,AA,咯咯
254,AA,太太
255,AA,搖搖
256,AA,呶呶
257,AA,皎皎
258,AA,茸茸
259,AA,眽眽
260,AA,䘒䘒
261,AA,奄奄
262,AA,嚿嚿
263,AA,訕訕
264,AA,度度
265,AA,忽忽
266,AA,洩洩
267,AA,颯颯
268,AA,雙雙
269,AA,區區
270,AA,囡囡
271,AA,曳曳
272,AA,通通
273,AA,磊磊
274,AA,悻悻
275,AA,次次
276,AA,統統
277,AA,粘粘
278,AA,啁啁
279,AA,姊姊
280,AA,奶奶
281,AA,下下
282,AA,速速
283,AA,渙渙
284,AA,啲啲
285,AA,時時
286,AA,默默
287,AAB,拿拿聲
288,AAB,好好地
289,AAB,串串槓
290,AAB,蓉蓉爛
291,AAB,痕痕地
292,AAB,羅羅攣
293,AAB,𢱢𢱢脆
294,AAB,吊吊揈
295,AAB,啤啤骨
296,AAB,立立令
297,AAB,狒狒地
298,AAB,脆脆地
299,AAB,啡啡聲
300,AAB,估估下
301,AAB,茸茸爛
302,AAB,唉唉聲
303,AAB,細細粒
304,AAB,啤啤俘
305,AAB,聽聽歌
306,AAB,酸酸地
307,AAB,啤啤衫
308,AAB,條條揈
309,AAB,啖啖香
310,AAB,醒醒地
311,AAB,陰陰笑
312,AAB,嬲嬲豬
313,AAB,騎騎聲
314,AAB,啱啱先
315,AAB,噝噝聲
316,AAB,碰碰車
317,AAB,吧吧聲
318,AAB,擔擔麪
319,AAB,咋咋聲
320,AAB,玩玩下
321,AAB,滾滾地
322,AAB,弗弗地
323,AAB,翹翹板
324,AAB,騰騰震
325,AAB,啦啦隊
326,AAB,娃娃菜
327,AAB,絲絲聲
328,AAB,啲啲震
329,AAB,蟲蟲文
330,AAB,鹹鹹地
331,AAB,啱啱好
332,AAB,赤赤痛
333,AAB,食食下
334,AAB,覷覷眼
335,AAB,啦啦球
336,AAB,啱啱得
337,AAB,嗒嗒聲
338,AAB,嚡嚡地
339,AAB,扽扽下
340,AAB,哈哈鏡
341,AAB,㩧㩧脆
342,AAB,滯滯地
343,AAB,戇戇地
344,AAB,喇喇聲
345,AAB,輕輕地
346,AAB,紮紮跳
347,AAB,掹掹緊
348,AAB,閒閒地
349,AAB,康康舞
350,AAB,嗗嗗聲
351,AAB,私私縮
352,AAB,泡泡浴
353,AAB,慢慢食
354,AAB,麻麻地
355,AAB,卜卜聲
356,AAB,涸涸地
357,AAB,刮刮叫
358,AAB,牙牙語
359,AAB,震震貢
360,AAB,慢慢行
361,AAB,飄飄然
362,AAB,䟴䟴下
363,AAB,叮叮貓
364,AAB,家家酒
365,AAB,郁郁貢
366,AAB,吔吔嗚
367,AAB,爛爛地
368,AAB,閃閃令
369,AAB,卜卜脆
370,AAB,嗡嗡彈
371,AAB,啫啫煲
372,AAB,㞘㞘車
373,AAB,攪攪捧
374,AAB,陰陰地
375,AAB,扭扭樂
376,AAB,犦犦齋
377,AAB,笑笑口
378,AAB,拜拜肉
379,AAB,思思縮
380,AAB,啤啤熊
381,AAB,着着聲
382,AAB,密密斟
383,AAB,九九機
384,AAB,粗粗地
385,AAB,好好聲
386,AAB,陰陰天
387,AAB,恰恰舞
388,AAB,啤啤女
389,AAB,㗾㗾聲
390,AAB,好好口
391,AAB,多多聲
392,AAB,臘臘亂
393,AAB,講講下
394,AAB,吱吱浸
395,AAB,唧唧冰
396,AAB,綳綳緊
397,AAB,層層疊
398,AAB,可可米
399,AAB,死死吓
400,AAB,靴靴聲
401,AAB,羞羞臉
402,AAB,篤篤撐
403,AAB,嘟嘟車
404,AAB,娘娘廟
405,AAB,媽媽聲
406,AAB,䟴䟴板
407,AAB,佮佮掂
408,AAB,卜卜米
409,AAB,問問嗻
410,AAB,沱沱河
411,AAB,卡卡聲
412,AAB,毛毛雨
413,AAB,姐姐仔
414,AAB,棒棒機
415,AAB,伏伏跳
416,AAB,搞搞陣
417,AAB,簡簡糊
418,AAB,嗲嗲吊
419,AAB,呥呥食
420,AAB,覺覺豬
421,AAB,郁郁愩
422,AAB,咋咋臨
423,AAB,窒窒下
424,AAB,泵泵下
425,AAB,癲癲地
426,AAB,銀銀聲
427,AAB,陰陰寒
428,AAB,水水地
429,AAB,蝦蝦笑
430,AAB,快快手
431,AAB,啤啤夫
432,AAB,整整下
433,AAB,溫溫燉
434,AAB,冥冥中
435,AAB,溶溶爛
436,AAB,篤篤車
437,AAB,括括聲
