index,type,word
1,AAB,哈哈笑
2,AAB,呵呵笑
3,AAB,嘻嘻笑
4,AAB,微微笑
5,AAB,咪咪笑
6,AAB,團團轉
7,AAB,汪汪叫
8,AAB,呱呱叫
9,AAB,嘎嘎叫
10,AAB,刮刮叫
11,AAB,喔喔啼
12,AAB,吱吱聲
13,AAB,碎碎念
14,AAB,嗒嗒響
15,AAB,咚咚響
16,AAB,叮叮噹
17,AAB,晶晶亮
18,AAB,閃閃亮
19,AAB,蒙蒙亮
20,AAB,麻麻亮
21,AAB,欣欣然
22,AAB,飄飄然
23,AAB,憤憤然
24,AAB,惶惶然
25,AAB,悠悠然
26,AAB,茫茫然
27,AAB,懵懵然
28,AAB,密密麻
29,AAB,冰冰涼
30,AAB,冰冰冷
31,AAB,毛毛雨
32,AAB,急急風
33,AAB,噴噴香
34,AAB,輕輕柔
35,AAB,叮叮噹
36,AAB,乒桌球
37,AAB,洗洗手
38,AAB,刷刷牙
39,AAB,寫寫字
40,AAB,看看報
41,AAB,讀讀書
42,AAB,聊聊天
43,AAB,天天講
44,AAB,說說話
45,AAB,悄悄話
46,AAB,談談心
47,AAB,開開心
48,AAB,開開眼
49,AAB,散散心
50,AAB,散散步
51,AAB,面面談
52,AAB,見見面
53,AAB,打打球
54,AAB,跳跳舞
55,AAB,扭扭腰
56,AAB,蹦蹦跳
57,AAB,唱唱歌
58,AAB,做做飯
59,AAB,品品茶
60,AAB,喝喝酒
61,AAB,吃吃茶
62,AAB,解解饞
63,AAB,婆婆嘴
64,AAB,點點頭
65,AAB,吹吹頭
66,AAB,搖搖頭
67,AAB,擦擦臉
68,AAB,咧咧嘴
69,AAB,努努嘴
70,AAB,咬咬牙
71,AAB,眨眨眼
72,AAB,覷覷眼
73,AAB,招招手
74,AAB,揮揮手
75,AAB,拉拉手
76,AAB,擺擺手
77,AAB,揚揚手
78,AAB,洗洗腳
79,AAB,動動腿
80,AAB,練練球
81,AAB,打打拳
82,AAB,剛剛好
83,AAB,聲聲慢
84,AAB,咚咚響
85,AAB,門門通
86,AAB,天天講
87,AAB,夜夜想
88,AAB,呼呼睡
89,AAB,悄悄話
90,AAB,乖乖女
91,AAB,排排坐
92,AAB,啦啦隊
93,AAB,濃濃情
94,AAB,紛紛飛
95,AAB,雙雙散
96,AAB,幽幽聲
97,AAB,筆筆直
98,AAB,鐵鐵實
99,AAB,滾滾圓
100,AAB,煞煞體
101,AAB,儘儘光
102,AAB,卷卷光
103,AAB,滴滴滑
104,AAB,老老遠
105,AAB,貼貼近
106,AAB,削削尖
107,AAB,苦苦等
108,AAB,暗暗想
