index,type,word
1,AA,輕輕
2,AA,知知
3,AA,事事
4,AA,俕俕
5,AA,靈靈
6,AA,伯伯
7,AA,鈍鈍
8,AA,剾剾
9,AA,閃閃
10,AA,牢牢
11,AA,凊凊
12,AA,斜斜
13,AA,睏睏
14,AA,爸爸
15,AA,祖祖
16,AA,少少
17,AA,鬆鬆
18,AA,滿滿
19,AA,澹澹
20,AA,改改
21,AA,彎彎
22,AA,袚袚
23,AA,爍爍
24,AA,念念
25,AA,哺哺
26,AA,攪攪
27,AA,空空
28,AA,近近
29,AA,波波
30,AA,鬍鬍
31,AA,綿綿
32,AA,了了
33,AA,千千
34,AA,直直
35,AA,雄雄
36,AA,奈奈
37,AA,歁歁
38,AA,對對
39,AA,跳跳
40,AA,包包
41,AA,䆀䆀
42,AA,全全
43,AA,冤冤
44,AA,微微
45,AA,巡巡
46,AA,燥燥
47,AA,散散
48,AA,鎖鎖
49,AA,癢癢
50,AA,漂漂
51,AA,貼貼
52,AA,膨膨
53,AA,滯滯
54,AA,吊吊
55,AA,晏晏
56,AA,虯虯
57,AA,醬醬
58,AA,年年
59,AA,軋軋
60,AA,生生
61,AA,飼飼
62,AA,白白
63,AA,靜靜
64,AA,哹哹
65,AA,洘洘
66,AA,款款
67,AA,入入
68,AA,寬寬
69,AA,堂堂
70,AA,長長
71,AA,早早
72,AA,深深
73,AA,澩澩
74,AA,哎哎
75,AA,扒扒
76,AA,掠掠
77,AA,鹹鹹
78,AA,收收
79,AA,蠻蠻
80,AA,荏荏
81,AA,暖暖
82,AA,𠕇𠕇
83,AA,闊闊
84,AA,芳芳
85,AA,幼幼
86,AA,吞吞
87,AA,挲挲
88,AA,慢慢
89,AA,捘捘
90,AA,等等
91,AA,眾眾
92,AA,真真
93,AA,遙遙
94,AA,凜凜
95,AA,沓沓
96,AA,悾悾
97,AA,吐吐
98,AA,釘釘
99,AA,戇戇
100,AA,重重
101,AA,恬恬
102,AA,爹爹
103,AA,太太
104,AA,炒炒
105,AA,聽聽
106,AA,焦焦
107,AA,抐抐
108,AA,走走
109,AA,結結
110,AA,亂亂
111,AA,拚拚
112,AA,揀揀
113,AA,上上
114,AA,泔泔
115,AA,皮皮
116,AA,皺皺
117,AA,滑滑
118,AA,𤺪𤺪
119,AA,抱抱
120,AA,唌唌
121,AA,姊姊
122,AA,奶奶
123,AA,搬搬
124,AA,來來
125,AA,擽擽
126,AA,沙沙
127,AA,久久
128,AA,萬萬
129,AA,穩穩
130,AA,人人
131,AA,朝朝
132,AA,妹妹
133,AA,抓抓
134,AA,純純
135,AA,絨絨
136,AA,蟯蟯
137,AA,犁犁
138,AA,蜜蜜
139,AA,奇奇
140,AA,飛飛
141,AA,翠翠
142,AA,冷冷
143,AA,吱吱
144,AA,漚漚
145,AA,卯卯
146,AA,吼吼
147,AA,便便
148,AA,梢梢
149,AA,頻頻
150,AA,斷斷
151,AA,縛縛
152,AA,利利
153,AA,可可
154,AA,粕粕
155,AA,看看
156,AA,緊緊
157,AA,腫腫
158,AA,行行
159,AA,險險
160,AA,紛紛
161,AA,矮矮
162,AA,賰賰
163,AA,糊糊
164,AA,弄弄
165,AA,喌喌
166,AA,準準
167,AA,專專
168,AA,娘娘
169,AA,攢攢
170,AA,加加
171,AA,啄啄
172,AA,淺淺
